채용제목,근무지,경력,학력,고용형태,상세게시글id,회사,상세url,주요업무,자격요건,우대사항,스킬,채용절차,급여,업종,복지 및 혜택
[한국정보공학] AI 개발 부문 경력직 채용,경기 성남시 분당구 황새울로359번길 7  8층,경력,대졸이상,정규직,48439697.0,한국정보공학㈜,https://www.jobkorea.co.kr/Recruit/GI_Read/48439697?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=21&sc=630,"
담당업무

ㆍLLM 기반 RAG 챗봇 및 AI 에이전트 설계, 개발, 운영","자격요건

ㆍ학력 : 대졸이상

ㆍ경력 : 경력

ㆍLLM(OpenAI, Azure OpenAI 등) API를 활용한 RAG 기반 챗봇 또는 에이전트 개발 및 운영 경험
(LangChain, LangGraph 등 관련 프레임워크 사용 경험)
ㆍ데이터 수집, 전처리, 임베딩을 위한 데이터 파이프라인 구축 경험
ㆍ프롬프트 엔지니어링 및 튜닝을 통한 LLM 응답 품질 개선 및 RAG 성능 평가/검증 경험","우대사항

ㆍDocker/Kubernetes 환경에서 AI 개발 및 운영 경험자

ㆍLLM Fine-tuning 또는 SLM 학습/서빙 경험
ㆍ데이터 엔지니어링 및 MLOps(DVC, MLflow 등)에 대한 이해와 경험
ㆍ보안이 중요한 규제 산업 도메인에서의 프로젝트 개발 경험
ㆍ최신 AI 관련 논문이나 기술 트렌드를 학습하고, 이를 실제 프로-젝트에 적용하는 것을 즐기시는 분
ㆍ다양한 직군과 협업하여 문제를 정의하고 기술적 해결책을 제시하는 데 능숙하신 분","Azure, Kubernetes, LangChain, LangGraph, LLM, MLOps, OpenAI, RAG, 데이터 파이프라인","",회사 내규에 따름 (면접 후 결정),"",""
[플랫폼본부] 프랜차이즈시너지그룹 AI 리서치 엔지니어 (AI 어시스턴트),경기 성남시 분당구 판교로256번길 7  넥슨코리아,경력,학력무관,정규직 (수습 3개월),48424636.0,㈜넥슨,https://www.jobkorea.co.kr/Recruit/GI_Read/48424636?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=24&sc=630,"주요 업무
LLM 및 Agent 기반 AI 어시스턴트의 파이프라인·알고리즘 설계
라이브 서비스 개발 워크플로우 자동화를 위한 AI 파이프라인 연구
프롬프트 및 에이전트 파이프라인 설계, 평가 지표 정의 및 성능 개선
게임 기획자 및 AI 에이전트 엔지니어와 긴밀히 협업하여 실제 개발·운영 병목을 AI 관점에서 문제 해결","지원 자격
만 3년 이상의 LLM/Agent 관련 프로젝트 수행 경험이 있거나 AI 관련 석사 이상의 학위를 보유하신 분
RAG, Fine-tuning, RL 등 LLM 핵심 기술 및 자연어 처리(NLP)에 대한 이해도가 높으신 분
AI 기술에 대한 높은 이해도를 바탕으로 NeurIPS, ICML, ICLR 등 탑티어 학회에 논문을 게재한 경험이 있으신 분","우대 사항
AI 프로덕트의 전체 생애 주기 (문제 정의, 데이터 수집/분석/가공, 모델링, 배포, 운영 등)를 경험이 있으신 분
캐글 등 AI 경진대회나 알고리즘 공모전 수상, 국외 학술 발표 경험이 있으신 분
게임 데이터 포맷(스크립트, 기획서, 리소스 등)에 대한 이해도가 높거나 게임 개발 프로세스를 경험이 있으신 분","Agent, LLM, NLP, RAG, 자연어 처리","",회사 내규에 따름,"",""
AI 풀스택 개발자 (경력),경기도 성남시 분당구 백현동 532 카카오 판교 아지트,경력,학력무관,정규직,48301938.0,㈜카카오,https://www.jobkorea.co.kr/Recruit/GI_Read/48301938?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=25&sc=630,"
담당업무

ㆍ최신 거대 언어 모델(LLM)과 멀티모달 모델을 활용하여 아이디어를 신속하게

    웹/앱 서비스로 구현하고 검증합니다.

ㆍ복잡한 태스크를 자율적으로 수행하고, 사용자와 지능적으로 상호작용하는

    AI 에이전트의 워크플로우를 설계하고 개발합니다.

ㆍ텍스트, 이미지, 코드 등 다양한 결과물을 생성하고 편집하는 과정에 최적화된 동적이고

    직관적인 사용자 인터페이스와 새로운 인터랙션을 연구하고 구현합니다.

ㆍ국내외 최신 AI 기술, 프레임워크, 논문 등을 지속적으로 리서치하고

    실제 프로젝트에 신속하게 도입하여 기술 경쟁력을 확보합니다.","자격요건

ㆍJava, Kotlin, Node.js, Python 등 하나 이상의 언어와 LangGraph, Spring AI 등의

    AI 프레임워크를 사용하여 LLM 기반의 백엔드 시스템을 능숙하게 개발할 수 있는 분

ㆍReact (Next.js), Svelte 등 모던 프론트엔드 프레임워크를 사용하여 동적인

    AI 서비스를 개발한 경험이 있는 분

ㆍAI 기술과 서비스에 대한 깊은 관심과 열정을 바탕으로, 스스로 문제를 정의하고

    해결하며 빠르게 학습하고 성장하는 분

ㆍ다양한 직군의 동료들과 명확하고 효율적으로 소통하며, 적극적으로 협력하여

    공동의 목표를 달성하는 데 기여하는 분

","우대사항

ㆍgRPC, WebSocket 등 실시간 및 비동기 통신 환경에 대한 깊은 이해와 RESTful API 설계 및

    구현 경험이 풍부한 분

ㆍAI 챗봇, AI 기반 콘텐츠 에디터, RAG 시스템 등 AI 관련 서비스를 처음부터 끝까지 개발하고

    운영해 본 경험이 있는 분

ㆍClaude Code, Cursor 등 Agentic 워크플로우 개발 경험이 있는 분

ㆍTensorFlow.js, ONNX Runtime Web 등을 활용하여 웹 브라우저 환경에서 모델 추론을

    구현하고 최적화해 본 경험이 있는 분

ㆍWeb AI, WebLLM 등 브라우저 자체의 AI API 활용 경험 또는 AI 네이티브 브라우저의

    기술적 아키텍처에 대한 깊은 이해를 갖춘 분","Kotlin, LangGraph, LLM, Next.js, Node.js, Python, RAG, Spring, WebSocket, 멀티모달","",회사 내규에 따름,"",""
[라이브본부] AI 엔지니어,경기 성남시 분당구 판교로256번길 7  넥슨코리아,경력,학력무관,정규직 (수습 3개월),48455722.0,㈜넥슨,https://www.jobkorea.co.kr/Recruit/GI_Read/48455722?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=26&sc=630,"주요 업무
전 세계에서 개발/서비스 중인 게임/IP에 대한 데이터 수집/관리와 인사이트 추출
게임/IP 관련 정형/비정형 데이터를 이용한 게임 시장성과 가치를 평가하는 모델 개발
데이터 기반 퍼블리시에 필요한 AI 활용 생성/평가 모델 개발","지원 자격
AI/ML 등 데이터 기반의 예측/분류 등 모델 개발 업무를 3년 이상 진행하신 분
데이터 과학에 기반한 문제 해결과 사고에 능숙하신 분
데이터 정제/시각화/분석에 필요한 프로그래밍 능력과 머신러닝/딥러닝 등의 주요 프레임워크 경험이 있는 분 (Python, Snowflake, scikit learn 등)
LLM/AI 에이전트를 활용한 실무 프로젝트 경험이 있으신 분
DB 구조에 대한 이해가 있으시고 적재/추출 등 활용에 능숙하신 분","우대 사항
게임과 게임 데이터에 대한 도메인 이해가 있으신 분
문제 해결과 도전을 위해 자기 주도적 업무가 가능하신 분
다양한 직군의 사람들과 유연한 커뮤니케이션이 가능하신 분
다양한 플랫폼의 게임을 즐기고 게임 문화/커뮤니티에 익숙하신 분
다양한 시각화 툴을 통해 간단한 대시보드/리포트 개발이 가능하신 분
Azure, GCP 등 클라우드 환경에서의 LLM API 활용 경험이 있으신 분
데이터 기반의 문제 정의를 통해 기존 모델의 기술적 한계를 극복하고 개선한 경험이 있으신 분
영문 데이터를 다루는데 문제가 없으신 분","Azure, GCP, LLM, Python","",회사 내규에 따름,"",""
[플랫폼본부] AI Hub실 AI 엔지니어,경기 성남시 분당구 판교로256번길 7  넥슨코리아,경력,학력무관,정규직 (수습 3개월),48469775.0,㈜넥슨,https://www.jobkorea.co.kr/Recruit/GI_Read/48469775?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=27&sc=630,"주요 업무
멀티 플랫폼 AI 인터페이스 개발 및 통합
- AI Hub의 핵심 자산인 Context DB 및 AI 에이전트 기능을 Slack, Web, 내부 AI Studio 등 다양한 채널에서 일관된 경험으로 제공합니다.
- Slack 봇, 웹 UI, 내부 도구 간의 사용 흐름을 설계하고, 환경별 UX 차이를 고려한 인터페이스를 구현합니다.
- MCP, A2A 프로토콜 등과 연계하여 AI 모델 프론트엔드 간 상호작용 구조를 설계합니다.

Context 관리 및 운영 플랫폼 구축
- 게임 현업 부서에서 별도의 개발 지식 없이도 데이터를 업로드·관리·개선할 수 있는 AI 운영용 웹 인터페이스를 개발합니다.
- 데이터 업로드, AI 생성 결과물 확인, 수정 피드백 입력 등 AI 학습 데이터의 선순환을 위한 UI/UX를 구현합니다.

 사용자 중심의 AI UX 설계 및 최적화
- 복잡한 AI 기술을 현업 사용자가 직관적으로 이해하고 제안할 수 있도록 시각화하고, 사용성을 개선합니다.
- 프론트엔드 관점에서 API 응답 속도 최적화 및 안정적인 서비스 환경을 제공합니다.
- 프론트엔드 관점에서 응답 지연, 스트리밍 처리, 실패/재시도 UX 등을 설계하여 안정적인 AI 사용 경험을 제공합니다.","지원 자격
프론트엔드 개발 실무 경력 3년 이상 보유하신 분
React, Vue, Next.js 등 모던 프레임워크를 활용한 SPA 개발 및 운영 경험이 있으신 분
REST API 및 실시간 통신(WebSocket, SSE 등)을 활용한 인터페이스 구현 경험이 있으신 분
디자이너, 기획자, 백엔드 개발자와 원활하게 협업할 수 있는 커뮤니케이션 역량을 보유하신 분","우대 사항
AI 서비스 또는 LLM 기반 제품의 프론트엔드 설계 경험이 있으신 분
프론트엔드에 국한되지 않고, BFF(Backend for Frontend) 기반 설계 및 경량 백엔드까지 함께 구현한 경험이 있으신 분
Slack Bot(Slack Bolt SDK) 기반 인터페이스 개발 경험이 있으신 분
MCP(Model Context Protocol), 멀티 에이전트 아키텍처 등 AI 인터페이스 구조에 대한 이해도가 높으신 분
Admin Tool, CMS, 내부 운영 도구를 제품 관점에서 설계 및 개선한 경험이 있으신 분
AI 서비스(LLM 기반 서비스)의 인터페이스 설계 및 최적화 경험이 있으신 분
게임 산업에 대한 높은 관심과 넥슨 게임에 대한 이해도가 높으신 분","LLM, Next.js, React, REST API, Vue, WebSocket","",회사 내규에 따름,"",""
해커스교육그룹 [경력] AI풀스택 개발자 채용,"서울 서초구 서초4동 1316-15 현대성우빌딩 1층, 2층,",신입·경력,학력무관,정규직,48405321.0,㈜해커스어학원,https://www.jobkorea.co.kr/Recruit/GI_Read/48405321?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=28&sc=630,"LLM 기반 서비스 개발 : LLM(Large Language Model)을 활용한
교육 서비스 기획 및 개발
AI 에이전트 개발 : 학습자와 상호작용하는 AI 챗봇, 튜터링 시스템 개발
업무 자동화 : 사내 LLM을 활용한 자동화 프로세스 적용 및 개선","학력/전공 무관
Python, Java, Node.js 중 하나 이상의 언어로 백엔드 개발 경험이 있는 분
React, Vue.js 등 모던 프론트엔드 프레임워크 사용 경험이 있는 분
AI/ML 기술에 관심이 많고 새로운 기술 습득에 적극적인 분
실질적인 LLM관련 프로젝트 수행경험 및 결과물(포트폴리오)이 있는 분","LangChain, LangGraph 등 LLM 프레임워크 활용 경험
AI 챗봇 또는 RAG 시스템 개발 경험
교육 서비스 또는 EdTech 분야 개발
업무 프로세스 자동화 구축 경험","Java, LangChain, LangGraph, LLM, Node.js, Python, RAG, React, Vue","",회사 내규에 따름 (면접 후 결정),"",""
AI 머신 러닝 엔지니어 (대리급 이상),서울 서초구,경력2년~10년,학력무관,정규직,48379333.0,메타넷디지털㈜,https://www.jobkorea.co.kr/Recruit/GI_Read/48379333?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=31&sc=630,"이런 업무를 해요
ㆍ고객사 요구사항 분석 후 맞춤형 기능 구현 및 통합 개발
ㆍAgent Framework(LangChain, LlamaIndex 등)를 활용한 AI 워크플로우 구축
ㆍAI Agent 및 LLM 기반 서비스의 모델 설계·개발·배포 지원
ㆍ내부 데이터 및 외부 API를 활용한 RAG / 파인튜닝 환경 구성
ㆍ클라우드 환경에서의 모델 배포 및 성능 최적화
ㆍ테크 리더와 협업하여 서비스 고도화 및 운영 자동화 지원
ㆍ고객사 기술팀과의 실무 협의 및 기술 검증(PoC) 수행","[자격요건]
ㆍ관련 경력 2~5년 이상 (또는 이에 준하는 프로젝트 경험)
ㆍPython 기반 AI/ML 개발 경험
ㆍOpenAI, Anthropic, Mistral 등 LLM API 활용 경험
ㆍLangChain, RAG, Vector DB, Embedding 모델 등의 이해 및 실습 경험
ㆍGit, Docker, REST API 등 기본적인 개발 환경 이해
ㆍ새로운 기술을 빠르게 학습하고 실무에 적용할 수 있는 실행력
ㆍ원활한 커뮤니케이션 및 협업 역량","이런 분이면 더 좋아요
ㆍAI Agent 시스템 또는 대화형 서비스 개발 경험
ㆍ모델 파인튜닝, 프롬프트 엔지니어링 실무 경험
ㆍ클라우드 환경에서의 MLOps 경험 (SageMaker, Vertex AI 등)
ㆍ대형 고객사(B2B) 프로젝트 또는 외부 커뮤니케이션 경험
ㆍ스타트업/테크 기업 환경에 익숙한 분","Agent, Anthropic, Docker, LangChain, LLM, MLOps, RAG, REST API","","","",""
Agentic AI Platform 개발자 (경력),경기도 성남시 분당구 백현동 532 카카오 판교 아지트,경력,학력무관,정규직,48300757.0,㈜카카오,https://www.jobkorea.co.kr/Recruit/GI_Read/48300757?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=32&sc=630,"
담당업무

ㆍ카카오 Agent Builder

    - AI와 Web Streaming 기술을 통해 웹, 톡, 챗봇, 카카오맵 등 다양한 플랫폼과의 연동을 진행합니다.

ㆍAgent Network

    - A2A를 통해 카카오 에이전트와 내?외부 에이전트를 연동하여 유기적인

       에이전트 네트워크를 구성할 수 있는 플랫폼을 구축합니다.

","자격요건

ㆍAI Prompt Engineering, Function Call, Agent 기반 아키텍처 설계 및 개발 경력을 보유하신 분

ㆍJava/Kotlin 및 Spring 기반 웹 서비스 개발 경력을 3년 이상 보유하신 분

ㆍKubernetes 인프라 환경에서의 개발 및 DevOps 운영 경력을 보유하신 분

ㆍRDB, NoSQL, Queue, 캐시 등 미들웨어 활용 경력을 보유하신 분","우대사항

ㆍn8n, make, dify 등 Agent Builder를 활용하여 에이전트를 제작해보신 분

ㆍA2A, MCP 등의 에이전트 프로토콜을 활용한 에이전트 개발 경력을 보유하신 분

ㆍ웹 스트리밍 (WebSocket, SSE) 서비스 아키텍처 설계 및 개발 운영 경력을 보유하신 분

ㆍ새로운 언어, 기술에 관심과 학습 의지가 높으신 분","Agent, DevOps, Kotlin, Spring, WebSocket","",회사 내규에 따름,"",""
"경력사원 채용(연구개발, 전략기획, IFM, SI영업)",서울특별시 중구 세종대로7길 25,경력,학력무관,정규직,48428391.0,에스원,https://www.jobkorea.co.kr/Recruit/GI_Read/48428391?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=33&sc=630,"수행업무
ㆍAI에이전트 개발
ㆍ - 지능형 영상 관제 시스템에 적용 가능한 AI에이전트 아키텍쳐 설계 및 개발
ㆍ - AI에이전트 성능 모니터링 및 디버깅
ㆍ - MCP 설계 및 개발","지원자격
ㆍAI 엔지니어 업무 등 4년 이상 유관경력 보유하신 분","우대사항
ㆍ컴퓨터공학, 전산, AI 등 유관전공 박사 학위 보유하신 분/취득 예정이신 분
ㆍEnd to End 에이전트 설계 및 운영 경험 보유하신 분
ㆍAI에이전트 고도화를 적용한 성능 향상 경험 보유하신 분
ㆍMCP 도구 제작 및 배포 적용 경험 보유하신 분
ㆍ온프레미스, 클라우드 플랫폼을 활용한 프로젝트 경험 보유하신 분",,"",회사 내규에 따름,"",""
"[서비스개발센터] 경력 개발자, 웹디자이너 채용",서울 서대문구 충정로 29  10층,경력4년,학력무관,"정규직 (수습 3개월) , 계약직 (근무기간 1년)",48493295.0,㈜동아사이언스,https://www.jobkorea.co.kr/Recruit/GI_Read/48493295?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=34&sc=630,"프론트엔드 개발 및 품질 개선(Next.js, React 등)","프론트엔드 개발 경험 4년 또는 7년 이상 또는 이에 준하는 경험을 보유하신 분
Next.js, TypeScript등 모던 웹 개발 기술 숙련도가 높으신 분
Figma 등 디자인 협업 툴을 통한 업무가 능숙하신 분","안드로이드/iOS 앱 개발 경험
커머스 서비스 개발/운영 경험
코드 리뷰, 유닛 테스트, 문서화 등의 소프트웨어 개발에 적극적인 분
개발팀 내부의 개발 방향 및 기준 수립에 관심이 많으신 분
MCP, AI Worlflow 등 AI 에이전트를 활용하는 환경에 익숙하신 분
사용자의 긍정적 경험을 위한 UI/UX 설계에 적극적으로 고민하시는 분
대규모 트래픽 대응 및 성능 최적화 경험을 보유하신 분
CI/CD 파이프라인(Jenkins, GitHub Actions 등)을 활용한 자동화된 빌드, 테스트, 배포 경험이 있으신 분
크로스 브라우징 호환성 및 반응형 웹 디자인에 대한 경험","CI/CD, GitHub, Jenkins, Next.js, React","",회사 내규에 따름 (면접 후 결정),"",""
인공지능(AI) 솔트룩스 - 백엔드 개발자 채용,서울 송파구 올림픽로35길 123,경력,대졸이상,정규직 (수습 3개월),48455112.0,주식회사 솔트룩스,https://www.jobkorea.co.kr/Recruit/GI_Read/48455112?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=35&sc=630,,"[필수요건]
- 인공지능/머신러닝/데이터 분야 실무 경력 6년 이상 또는 이에 준하는 고급 개발·리드 경험

- 최소 3명 이상의 개발자로 구성된 프로젝트를 기술적으로 리딩하고 성공시킨 경험

- 엘라스틱서치 유경험자로써 이를 활용해 검색, 분류, 관련 서비스 등을 개발하고 성공시킨 경험","[경험요건]

- 비즈니스 요구사항에 최적화된 AI 모델 아키텍처 및 데이터 파이프라인 설계

- LLM을 기반으로 스스로 판단하고 도구를 사용하는 자율형 에이전트(Agent) 및 Multi-agent 워크플로우 설계

- 문제 정의 → 데이터 전략 → 모델링/평가 → 배포/모니터링 → 지속 개선의 엔드투엔드(End-to-End) 리드","agent, Agent, 데이터 파이프라인","",회사 내규에 따름 (면접 후 결정),"",""
AI 개발자,대한민국 경기도 성남시 분당구 분당로 55 퍼스트타워 9층,경력,초대졸이상,정규직,48469835.0,㈜다날,https://www.jobkorea.co.kr/Recruit/GI_Read/48469835?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=36&sc=630,"금융 거래 데이터를 활용한 모델 개발 및 고도화
데이터 수집·전처리, feature engineering, 모델 실험 설계 및 반복 학습
RAG(Retrieval-Augmented Generation) 기반 AI 서비스 설계 및 운영
단일 서비스 단위를 넘어 전사 AI 플랫폼/에이전트 아키텍처 설계","2년 이상의 AI/데이터/백엔드 관련 실무 경험 또는 이에 준하는 프로젝트 경험
Python 기반 ML/DL 개발 경험
데이터 기반 문제를 모델링 관점에서 정의하고 해결한 경험
모델의 성능뿐 아니라 운영 환경에서의 제약(속도, 비용, 안정성)을 고려할 수 있는 역량
새로운 도메인에 대한 빠른 학습 능력과 문제 해결력","금융/결제/거래 데이터 기반 모델 연구·개발·서비스 경험

RAG 기반 AI 서비스 설계 및 운영 경험

LLM(OpenAI, Claude, Gemini 등) 활용 서비스 개발 경험

AI, 컴퓨터공학 등 관련 석사 이상 학위 보유자

글로벌 컨퍼런스의 논문 게재 경험 또는 논문에 기재된 기술 검토나 적용 경험이 있으신 분
원활한 커뮤니케이션 능력과 강단 있는 의사결정 역량을 보유하신 분","Claude, Gemini, LLM, OpenAI, Python, RAG","",회사 내규에 따름,"",""
[도시락eSIM] 업무자동화 개발·운영 담당자,서울 서대문구 충정로2가 충정빌딩 6층,경력,학력무관,정규직 (수습 3개월) 직급/직책,48489961.0,와이드모바일,https://www.jobkorea.co.kr/Recruit/GI_Read/48489961?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=38&sc=630,"[담당 업무]

1. 자동화·AI 신규 과제 발굴

  - 사내 다양한 부서의 업무 프로세스 분석 및 자동화 후보 과제 발굴

  - 사람의 작업 방식을 분석·해체하여 AI와 시스템이 안정적으로 수행할 수 있는 작업으로 재구성

  - RPA / 스크립트 / API / 에이전트 등을 조합한 최적의 자동화 방식 설계



2. 자동화 설계 및 개발

  - RPA 솔루션, 스크립트, API 연계 기반 자동화 개발

  - 문서도구, 외부 시스템, 내부 전산, 웹 등 다양한 환경 연동




3. 운영 및 고도화

  - 운영 중인 자동화 서비스 관련 요청처리, 장애 대응 및 성능 개선

  - 자동화 로그, 실행 이력, 오류 패턴 분석 및 개선

  - 자동화 프로세스와 관련된 다양한 내/외부 변동에 대응","[자격요건]

- 위 담당 업무를 수행할 수 있는 기술을 갖추었으며 본인의 이력 방향성과 일치하시는 분

- Python 등 스크립트 기반 업무 자동화 또는 API활용 백엔드 개발 경험

- 업무 프로세스를 이해하고 구조화하는 능력을 보유하신 분

- 타 부서와의 협업을 위한 원활한 커뮤니케이션 역량


","[우대사항]

- RPA 솔루션 사용 경험

- LLM, 에이전트 기반 서비스 설계 또는 운영 경험

- IT 서비스 기획, PM, 업무 시스템 구축 경험

  (기획 경험만이 아닌, 실제 자동화 개발 수행 경험 필수)","LLM, Python","",회사 내규에 따름 (면접 후 결정),"",""
2026년 미국 Battery Tech Conference 채용전형 모집 - AI/빅데이터(비전AI),서울 영등포구 여의대로 108,신입·경력,대학원(석사)이상,정규직,48467513.0,LG에너지솔루션,https://www.jobkorea.co.kr/Recruit/GI_Read/48467513?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=39&sc=630,"
이런 일을 해요

ㆍ제조 공정에서 수집되는 대규모 영상 데이터를 활용하여 불량 검출 및 분석 알고리즘 개발을

    통한 적기에 출하 및 생산 공정 최적화를 수행해요.

ㆍ그리고 멀티 에이전트, Agentic AI 기반의 Vision AI 시스템을 구축하고 고도화하여

    생산성을 향상시키는 등 스마트 팩토리 시스템 구축에 필수적인 역할을 해요.

ㆍ저희는 비전 Foundation Model, LVLM 등의 최신 기술 기반 연구 개발 경험과 지식을

    쌓아서 AI 비전 전문가로서의 가치를 극대화할 수 있어요.","필수사항

ㆍVision AI 관련 석사 이상(박사 우대) 학위 보유를 하셨거나, 관련 실무 3년 이상 보유하신

    분들을 찾고 있어요.

ㆍOpenCV 기반의 컨벤셔널 알고리즘, Classification/Detection/Segmentation 등 딥러닝

    관련 전문 지식과 경험, 혹은 Python/C++ 기반의 시스템 개발 역량도 갖춘 분이면 좋아요.

ㆍ제조/공정 이미지 분석 및 Anomaly Detection, Robot Vision 관련 프로젝트 경험과

     Generative Model, VLM, Agentic AI 등의 최신 기술에도 관심 또는 경험이 있으신

     분이면 더 좋아요.",,Python,"",회사 내규에 따름,"",""
[CDO] AI/빅데이터 연구개발 경력 상시 모집 - 비전AI기술개발,서울 서초구 양재대로11길 19,경력,대학원(석사)이상,정규직,48359125.0,LG에너지솔루션,https://www.jobkorea.co.kr/Recruit/GI_Read/48359125?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=41&sc=630,"담당업무

ㆍ생산라인에서 수집되는 대규모 영상 데이터를 활용하여 불량 검출, 분석을 통한 적기에

    출하 및 생산 공정 최적화

ㆍ범용적인 처리가 가능한 VLM 개발 및 고도화, 그리고 서비스 적용을 통해 생산성을

    향상시키고 중장기적으로 스마트 팩토리 시스템 구축

ㆍ멀티 에이전트, Agentic AI 기반 Vision AI 시스템 구축 및 고도화","자격요건

ㆍ전공 : 전자공학, 컴퓨터공학, 산업공학 등 AI, Vision 관련 전공

ㆍVision AI 관련 석사 이상(박사 우대) 학위 보유 및 관련 실무 3년 이상 보유자

ㆍ비전 검사 장비 등 스마트 팩토리 현장에 Vision 딥러닝/Rule 기반 알고리즘/SW,

    서비스 적용 기술 보유 혹은 경험자

ㆍVision AI System Architecture 설계 기술 보유 혹은 경험자","우대사항

ㆍClassification/Object Detection/Segmentation 등 Vision Deep Learning 전문

    지식/기술 보유

ㆍOpenCV 등 Conventioinal Computer Vision 역량, 딥러닝 프레임워크(Pytorch,

    Tensorflow, Keras) 및 S/W 개발(Python, C++) 고급 역량 보유

ㆍ제조 이미지 분석 및 이상감지 분석 프로젝트 유경험자, Robot Vision 및 Camera Geometric

    관련 프로젝트 유경험자

ㆍEdge 또는 Cloud 기반 Vision AI System Architecture 설계 유경험자

ㆍVLM, Generative AI 등의 거대 모델 학습/고도화 유경험자

ㆍAgentic AI 기반 시스템 설계/운영 및 고도화 유경험자

ㆍ프로젝트 PM, PL 유경험자","Computer Vision, Deep Learning, Keras, Python, Pytorch, Tensorflow","",회사 내규에 따름,"",""
[플랫폼본부] AI 리서치 사이언티스트 (Image / Video Generation),경기 성남시 분당구 판교로256번길 7  넥슨코리아,경력무관,학력무관,정규직 (수습 3개월),48196529.0,㈜넥슨,https://www.jobkorea.co.kr/Recruit/GI_Read/48196529?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=42&sc=630,"이미지 및 동영상 생성 AI 모델 및 서비스 개발
이미지 및 동영상 생성 AI 관련 신기술 리서치","지원 자격
2년 이상의 Image Generation 관련 프로젝트 수행 경험이 있거나 AI 관련 석사 이상의 학위를 보유하신 분
AI 기술에 대한 높은 이해도를 바탕으로 학회 논문 게재 경험이 있으신 분
Python, C/C++ 등 하나 이상의 프로그래밍 언어를 능숙하게 활용할 수 있으신 분
딥러닝 및 AI 기술에 대한 높은 관심과 열정이 있으신 분
실데이터로 실제 사용자에게 적용하고 프로덕트화를 진행하실 분","우대 사항
딥러닝 최적화 라이브러리 활용 및 Diffusion 모델 학습 경험이 있으신 분
AI 프로덕트의 생애 주기 (문제 정의, 데이터 수집 및 가공, 분석, 모델링, 실험 단계의 전체 프로세스) 경험을 보유하신 분
캐글/알고리즘/공모전 수상, 학술 발표 등의 경험이 있으신 분",Python,"",회사 내규에 따름,"",""
[기술본부] AI 데이터 엔지니어,경기 성남시 분당구 판교로256번길 7  넥슨코리아,경력,학력무관,정규직 (수습 3개월),48293274.0,㈜넥슨,https://www.jobkorea.co.kr/Recruit/GI_Read/48293274?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=43&sc=630,"주요 업무
메시지 큐 기반 아키텍처로 대용량 트래픽 서비스와 분산 시스템 개발
Kafka, Flink, Airflow, Snowflake 등 잘 알려진 데이터 솔루션과 자체 개발한 고성능 NoSQL 데이터베이스 FastDB, 스트림 복합 처리 솔루션 FastJoin을 결합하여 다양한 데이터 기술 과제 해결
실시간 게임 데이터를 AI 활용이 가능한 형태(AI-Ready Data)로 정제 및 모델링하고 임베딩, RAG, 에이전트 서비스로 확장 가능한 데이터 파이프라인 설계 및 개발","지원 자격
실시간 데이터 스트리밍 처리에 대한 이해와 실무 경험을 보유하신 분
대용량 트래픽 또는 분산 시스템 환경에서 개발 경험을 보유하신 분
신기술에 대한 호기심과 학습 의지가 있고 동료들과 열린 마음으로 소통 가능하신 분","우대 사항
대규모 분산 시스템의 고가용성과 확장성을 고려한 아키텍처 설계 경험이 있으신 분
대규모 사용자 대상 MCP 서버 개발 경험, 또는 벡터 임베딩 기반 RAG 구현 경험이 있으신 분","Airflow, Kafka, RAG, 데이터 파이프라인","",회사 내규에 따름,"",""
